Metodo,Ruta,OperationId,Tags,TieneSecurity,Security,Summary
GET,/ach-cycles,,AchCycles,No,None,Consulta de ciclos y lotes ACH: consulta get dentro de ciclos y lotes ACH para la ruta /ach-cycles
POST,/ach-cycles,,AchCycles,No,None,Registro de ciclos y lotes ACH: registra una solicitud de create dentro de ciclos y lotes ACH para la ruta /ach-cycles
GET,/ach-cycles/exportable,,AchCycles,No,None,Consulta de ciclos y lotes ACH: consulta get exportable dentro de ciclos y lotes ACH para la ruta /ach-cycles/exportable
GET,/ach-cycles/{id},,AchCycles,No,None,Consulta de ciclos y lotes ACH: consulta get by id dentro de ciclos y lotes ACH para la ruta /ach-cycles/{id}
PUT,/ach-cycles/{id},,AchCycles,No,None,Actualización de ciclos y lotes ACH: actualiza información de update dentro de ciclos y lotes ACH para la ruta /ach-cycles/{id}
DELETE,/ach-cycles/{id},,AchCycles,No,None,Eliminación de ciclos y lotes ACH: elimina recursos asociados a delete dentro de ciclos y lotes ACH para la ruta /ach-cycles/{id}
GET,/ach-returns/cycles/{cycleId}/transactions,,AchReturns,No,None,Transacciones elegibles para devoluciones por ciclo
POST,/ach-returns/generate-file,,AchReturns,No,None,Generación de archivo de devoluciones
POST,/api/ach-traceability/sol02/{transactionId}/certify,,AchTraceability,No,None,Aplicar certificación SOL02 a transacción
GET,/api/ach-traceability/transactions/{transactionId},,AchTraceability,No,None,Consulta trazabilidad de una transacción
GET,/api/ach-traceability/report,,AchTraceability,No,None,Reporte de trazabilidad por rango
GET,/api/audit-logs,,AuditLogs,No,None,Consulta de audit logs: consulta get audit logs dentro de audit logs para la ruta /api/audit-logs
POST,/Auth/login,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de login dentro de seguridad bancaria para la ruta /Auth/login
POST,/Auth/forgot-password,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de forgot password dentro de seguridad bancaria para la ruta /Auth/forgot-password
POST,/Auth/reset-password,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de reset password dentro de seguridad bancaria para la ruta /Auth/reset-password
POST,/Auth/refresh,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de refresh session dentro de seguridad bancaria para la ruta /Auth/refresh
GET,/api/auth-logs,,AuthLogs,No,None,Consulta de seguridad bancaria: consulta get auth logs dentro de seguridad bancaria para la ruta /api/auth-logs
GET,/bank-holidays,,BankHolidays,No,None,Consulta de bank holidays: consulta get all dentro de bank holidays para la ruta /bank-holidays
POST,/bank-holidays,,BankHolidays,No,None,Registro de bank holidays: registra una solicitud de create dentro de bank holidays para la ruta /bank-holidays
PUT,/bank-holidays/{id},,BankHolidays,No,None,Actualización de bank holidays: actualiza información de update dentro de bank holidays para la ruta /bank-holidays/{id}
DELETE,/bank-holidays/{id},,BankHolidays,No,None,Eliminación de bank holidays: elimina recursos asociados a delete dentro de bank holidays para la ruta /bank-holidays/{id}
GET,/api/users/branding,,Branding,No,None,Consulta de branding: consulta get branding dentro de branding para la ruta /api/users/branding
PUT,/api/users/branding,,Branding,No,None,Actualización de branding: actualiza información de save branding dentro de branding para la ruta /api/users/branding
POST,/api/transactions/bulk-ingestion/upload,,BulkIngestion,No,None,Carga masiva de archivo para procesamiento por lotes
GET,/api/transactions/bulk-ingestion/{batchId},,BulkIngestion,No,None,Consulta de estado general de lote masivo
GET,/api/transactions/bulk-ingestion/{batchId}/items,,BulkIngestion,No,None,Consulta paginada de ítems del lote masivo
GET,/api/transactions/bulk-ingestion/{batchId}/summary,,BulkIngestion,No,None,Resumen de procesamiento y errores del lote
POST,/api/transactions/bulk-ingestion/{batchId}/retry,,BulkIngestion,No,None,Reintento operativo de lote o subconjunto de ítems
POST,/api/transactions/bulk-ingestion/{batchId}/cancel,,BulkIngestion,No,None,Solicitud operativa de cancelación de lote masivo
GET,/catalog-types/{catalogType},,CatalogTypes,No,None,Consulta de catalog types: consulta get all dentro de catalog types para la ruta /catalog-types/{catalogType}
POST,/catalog-types/{catalogType},,CatalogTypes,No,None,Registro de catalog types: registra una solicitud de create dentro de catalog types para la ruta /catalog-types/{catalogType}
PUT,/catalog-types/{catalogType}/{code},,CatalogTypes,No,None,Actualización de catalog types: actualiza información de update dentro de catalog types para la ruta /catalog-types/{catalogType}/{code}
DELETE,/catalog-types/{catalogType}/{code},,CatalogTypes,No,None,Eliminación de catalog types: elimina recursos asociados a delete dentro de catalog types para la ruta /catalog-types/{catalogType}/{code}
GET,/api/cenit/queues,,CenitOperations,No,None,Cola de ejecución de ciclos CENIT
GET,/api/cenit/net-positions,,CenitOperations,No,None,Posiciones netas de liquidez por ejecución
GET,/api/cenit/optimization-decisions,,CenitOperations,No,None,Decisiones de optimización de liquidez
GET,/api/cenit/traceability,,CenitOperations,No,None,Trazabilidad CENIT de transacciones
POST,/nacha-security/certificates/management/public,,CertificateManagement,No,None,Cargar certificado público
POST,/nacha-security/certificates/management/private,,CertificateManagement,No,None,Registrar certificado privado
GET,/nacha-security/certificates/management,,CertificateManagement,No,None,Consulta de certificados por filtros de gestión
GET,/nacha-security/certificates/management/{id}/versions,,CertificateManagement,No,None,Versiones de un certificado
POST,/nacha-security/certificates/management/versions/{id}/activate,,CertificateManagement,No,None,Activar versión de certificado
POST,/nacha-security/certificates/management/versions/{id}/revoke,,CertificateManagement,No,None,Revocar versión de certificado
POST,/nacha-security/certificates/management/versions/{id}/validate,,CertificateManagement,No,None,Validar versión para activación
GET,/nacha-security/certificates/management/audit,,CertificateManagement,No,None,Auditoría de cargas de certificados
GET,/clearing-house-cycle-configs,,ClearingHouseCycleConfigs,No,None,Consulta de ciclos y lotes ACH: consulta get by clearing house dentro de ciclos y lotes ACH para la ruta /clearing-house-cycle-configs
POST,/clearing-house-cycle-configs,,ClearingHouseCycleConfigs,No,None,Registro de ciclos y lotes ACH: registra una solicitud de create version dentro de ciclos y lotes ACH para la ruta /clearing-house-cycle-configs
GET,/clearing-house-cycle-configs/current,,ClearingHouseCycleConfigs,No,None,Consulta de ciclos y lotes ACH: consulta get current by clearing house dentro de ciclos y lotes ACH para la ruta /clearing-house-cycle-configs/current
