Metodo,Ruta,OperationId,Tags,TieneSecurity,Security,Summary
GET,/ach-cycles,,AchCycles,Sí,[{'Bearer': []}],Consulta de ciclos y lotes ACH: consulta get dentro de ciclos y lotes ACH para la ruta /ach-cycles
POST,/ach-cycles,,AchCycles,Sí,[{'Bearer': []}],Registro de ciclos y lotes ACH: registra una solicitud de create dentro de ciclos y lotes ACH para la ruta /ach-cycles
GET,/ach-cycles/exportable,,AchCycles,Sí,[{'Bearer': []}],Consulta de ciclos y lotes ACH: consulta get exportable dentro de ciclos y lotes ACH para la ruta /ach-cycles/exportable
GET,/ach-cycles/{id},,AchCycles,Sí,[{'Bearer': []}],Consulta de ciclos y lotes ACH: consulta get by id dentro de ciclos y lotes ACH para la ruta /ach-cycles/{id}
PUT,/ach-cycles/{id},,AchCycles,Sí,[{'Bearer': []}],Actualización de ciclos y lotes ACH: actualiza información de update dentro de ciclos y lotes ACH para la ruta /ach-cycles/{id}
DELETE,/ach-cycles/{id},,AchCycles,Sí,[{'Bearer': []}],Eliminación de ciclos y lotes ACH: elimina recursos asociados a delete dentro de ciclos y lotes ACH para la ruta /ach-cycles/{id}
GET,/ach-returns/cycles/{cycleId}/transactions,,AchReturns,Sí,[{'Bearer': []}],Transacciones elegibles para devoluciones por ciclo
POST,/ach-returns/generate-file,,AchReturns,Sí,[{'Bearer': []}],Generación de archivo de devoluciones
POST,/api/ach-traceability/sol02/{transactionId}/certify,,AchTraceability,Sí,[{'Bearer': []}],Aplicar certificación SOL02 a transacción
GET,/api/ach-traceability/transactions/{transactionId},,AchTraceability,Sí,[{'Bearer': []}],Consulta trazabilidad de una transacción
GET,/api/ach-traceability/report,,AchTraceability,Sí,[{'Bearer': []}],Reporte de trazabilidad por rango
GET,/api/audit-logs,,AuditLogs,Sí,[{'Bearer': []}],Consulta de audit logs: consulta get audit logs dentro de audit logs para la ruta /api/audit-logs
POST,/Auth/login,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de login dentro de seguridad bancaria para la ruta /Auth/login
POST,/Auth/forgot-password,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de forgot password dentro de seguridad bancaria para la ruta /Auth/forgot-password
POST,/Auth/reset-password,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de reset password dentro de seguridad bancaria para la ruta /Auth/reset-password
POST,/Auth/refresh,,Auth,Sí,[{'Bearer': []}],Registro de seguridad bancaria: registra una solicitud de refresh session dentro de seguridad bancaria para la ruta /Auth/refresh
GET,/api/auth-logs,,AuthLogs,Sí,[{'Bearer': []}],Consulta de seguridad bancaria: consulta get auth logs dentro de seguridad bancaria para la ruta /api/auth-logs
GET,/bank-holidays,,BankHolidays,Sí,[{'Bearer': []}],Consulta de bank holidays: consulta get all dentro de bank holidays para la ruta /bank-holidays
POST,/bank-holidays,,BankHolidays,Sí,[{'Bearer': []}],Registro de bank holidays: registra una solicitud de create dentro de bank holidays para la ruta /bank-holidays
PUT,/bank-holidays/{id},,BankHolidays,Sí,[{'Bearer': []}],Actualización de bank holidays: actualiza información de update dentro de bank holidays para la ruta /bank-holidays/{id}
DELETE,/bank-holidays/{id},,BankHolidays,Sí,[{'Bearer': []}],Eliminación de bank holidays: elimina recursos asociados a delete dentro de bank holidays para la ruta /bank-holidays/{id}
GET,/api/users/branding,,Branding,No,None,Consulta de branding: consulta get branding dentro de branding para la ruta /api/users/branding
PUT,/api/users/branding,,Branding,No,None,Actualización de branding: actualiza información de save branding dentro de branding para la ruta /api/users/branding
POST,/api/transactions/bulk-ingestion/upload,,BulkIngestion,Sí,[{'Bearer': []}],Carga masiva de archivo para procesamiento por lotes
GET,/api/transactions/bulk-ingestion/{batchId},,BulkIngestion,Sí,[{'Bearer': []}],Consulta de estado general de lote masivo
GET,/api/transactions/bulk-ingestion/{batchId}/items,,BulkIngestion,Sí,[{'Bearer': []}],Consulta paginada de ítems del lote masivo
GET,/api/transactions/bulk-ingestion/{batchId}/summary,,BulkIngestion,Sí,[{'Bearer': []}],Resumen de procesamiento y errores del lote
